#######################
##
## License goes here
##
#######################
a	ɑ
digestiffen	diʒestifən
digitaalt	diʒitaːlt
digital	diʒitaːl
diichte	diːɕtə
diichten	diːɕtən
diktatorinne	diktaːtoːʀinə
dilettant	dilætɑnt
dillendapp	diləndɑp
dinde	dɛ̃ːd
dindë	dɛ̃ːdə
dinden	dɛ̃ːdən
diplom	diploːm
diplomatinne	diploːmaːtinə
dir	diːɐ
dirängele	diːʀæŋələ
dirängelen	diːʀæŋələn
direkt	diʀækt
direkter	diʀæktɐ
direktiounssitzung	diʀæktsjəʊnsitsuŋ
dirigéiere	diʀiʒɜɪəʀə
dirigéieren	diʀiʒɜɪəʀən
dirigent	diʀiʒænt
dirigentinne	diʀiʒæntinə
discipline	disiplin
disciplinéierten	disiplinɜɪɐtən
disco	diskoː
discoursen	diskuːəʀən
disponibelen	dispoːnibələn
disque	disk
disquë	diskə
disquen	diskən
distanz	distɑnts
distributeure	distʀibutœːʀə
disziplinne	distsiplinə
diwan	divɑ̃ː
diwwi	diviː
do	doː
dobäi	dobæːɪ
dobanne	dobɑnə
dobannen	dobɑnən
dobausse	dobæːʊsə
dobaussen	dobæːʊsən
dobehalen	doːbəhaːlən
dobleiwen	doːblɑɪvən
doctrinne	doktʀinə
documentairen	dokymɑ̃ːtɛːʀən
dodrun	doːdʀun
doe	doːə
doen	doːən
doft	doft
dohanne	doːhɑnə
dohannen	doːhɑnən
doheem	doːheːm
dohin	doːhin
dokes	doːkəs
dokessen	doːkəsən
dokter	doktɐ
doktesch	doktəʃ
doktrinne	doktʀinə
dokumentéieren	dokumæntɜɪəʀən
dokumentéiers	dokumæntɜɪɐs
dolch	dolɕ
doléiner	doːlɜɪnɐ
dolmetscher	dolmætʃɐ
dolmetscherinne	dolmætʃəʀinə
domat	doːmɑt
domm	dom
dommheet	domheːt
dompeg	dompəɕ
done	dɑ̃ːə
donen	dɑ̃ːən
donieft	doːniəft
donkel	doŋkəl
donner	donɐ
donnerwieder	donɐviədɐ
donneschdeg	donəʃdəɕ
donneschdes	donəʃdəs
dono	doːnoː
donst	donst
doppelgänger	dopəlgæŋɐ
dorobber	doːʀobɐ
doropshi	doːʀopshi
doropshin	doːʀopshin
dosagë	doːzaːʒə
dose	dozə
dosen	dozən
dosis	doːziːs
dot	doːt
douane	dwɑn
douanier	dwɑnjeː
doubléieren	dublɜɪəʀən
douce	duːs
doucë	duːsə
doucem	duːsəm
doucen	duːsən
doucestem	duːsəstəm
douche	duʃ
doud	dəʊt
doudeg	dəʊdəɕ
doudege	dəʊdəʑə
doudegen	dəʊdəʑən
doudelued	dəʊdəluət
doudesannonce	dəʊdəzɑnɑ̃ːs
doudmidd	dəʊtmit
doudsécher	dəʊtzəɕɐ
douéiert	duɜɪɐt
dous	dəʊs
doutgekrasch	dəʊtgəkʀɑʃ
doutgelaacht	dəʊtgəlaːχt
dovun	dofun
draach	dʀaːχ
draguéieren	dʀɑgɜɪəʀən
dräi	dʀæːɪ
dräiavéierzeg	dʀæːɪɑfɜɪɐtsəɕ
dräieck	dʀæːɪek
dräieckeg	dʀæːɪekəɕ
dräirad	dʀæːɪʀaːt
dräizéng	dʀæːɪtseŋ
dram	dʀaːm
dran	dʀɑn
dränke	dʀæŋkə
dränken	dʀæŋkən
drauf	dʀɑʊf
dréche	dʀeɕə
dréchen	dʀeɕən
dréchent	dʀeɕənt
dréchne	dʀeɕnə
dréchnen	dʀeɕnən
dreck	dʀæk
drécke	dʀekə
dreckeg	dʀækəɕ
drécken	dʀekən
dréckerei	dʀekəʀɑɪ
drecksak	dʀæksaːk
dreckskëscht	dʀækskəʃt
dreckstipp	dʀækstip
dreeën	dʀeːən
dreeme	dʀeːmə
dreemen	dʀeːmən
dréie	dʀɜɪə
dréien	dʀɜɪən
dréihälsche	dʀɜɪhælsjə
dréihälschen	dʀɜɪhælsjən
dréngend	dʀeŋənt
drénke	dʀeŋkə
drénken	dʀeŋkən
drénkgeld	dʀeŋkgælt
drénkwaasser	dʀeŋkvaːsɐ
drënner	dʀənɐ
drëpp	dʀəp
drëps	dʀəps
drëpse	dʀəpsə
drëpsen	dʀəpsən
drësseg	dʀəsəɕ
drëtte	dʀətə
drëtten	dʀətən
driibseg	dʀiːpsəɕ
driwwer	dʀivɐ
drobier	dʀoːbiːɐ
drock	dʀok
drocksaach	dʀoksaːχ
droe	dʀoːə
droen	dʀoːən
drog	dʀoːk
drogen	dʀoːgən
drogendealerinne	dʀoːʁəndiːləʀinə
drogenhändlerinne	dʀoːʁənhændləʀinə
drogestatistik	dʀoːʁəʃtɑtistik
drogestatistike	dʀoːʁəʃtɑtistikə
drogestatistiken	dʀoːʁəʃtɑtistikən
droguéieren	dʀoːgɜɪəʀən
droit	dʀwɑ
droleg	dʀoːləɕ
dronkenheet	dʀoŋkənheːt
drop	dʀop
dropgängerinne	dʀopgæŋəʀinə
dropmaache	dʀopmaːχə
dropmaachen	dʀopmaːχən
dropmouchs	dʀopməʊχs
drot	dʀoːt
druddele	dʀudələ
druddelen	dʀudələn
drugéifen	dʀugɜɪfən
drugesaten	dʀugəsaːtən
drüs	dʀyːs
du	duː
dübbelen	dybələn
dübel	dyːbəl
duch	duχ
duché	dyʃeː
ducke	dukə
duckele	dukələ
duckelen	dukələn
ducken	dukən
duebel	duəbəl
duechter	duəɕtɐ
duer	duːɐ
duerch	duːɐɕ
duerchernee	duːɐʑɐneː
duercherneen	duːɐʑɐneːn
duerchfale	duːɐɕfaːlə
duerchfalen	duːɐɕfaːlən
duerchfall	duːɐɕfɑl
duerchgéifen	duːɐɕgɜɪfən
duerchschnëttsalter	duːɐɕʃnətsɑltɐ
duerchsichteg	duːɐɕziɕtəɕ
duerchsträiche	duːɐɕʃtʀæːɪɕə
duerchsträichen	duːɐɕʃtʀæːɪɕən
duerchwulle	duːɐɕvulə
duerchwullen	duːɐɕvulən
duerf	duːɐf
duerfe	duːɐfə
duerfen	duːɐfən
duerfir	duːɐfiːɐ
duergoe	duːɐgoːə
duergoen	duːɐgoːən
duerkomme	duːɐkomə
duerkommen	duːɐkomən
duerno	duːɐnoː
dünger	dyŋɐ
dunn	dun
dure	dyːʀ
dusch	duʃ
duschcabinne	duʃkɑbinə
dusche	duʃə
duschen	duʃən
duschkabinne	duʃkɑbinə
dusel	duzəl
duuscht	duːʃt
duuss	duːs
duze	duːtsə
duzen	duːtsən
dynastie	dinɑstiː
e	ə
ebe	eːbə
eben	eːbən
ecart	ekaːʀ
ecarte	ekaːʀə
ecarten	ekaːʀən
ech	eɕ
echange	eʃɑ̃ːʃ
echangë	eʃɑ̃ːʒə
echangen	eʃɑ̃ːʒən
échantillon	eʃɑ̃ːtijɑ̃ː
echantillon	eʃɑ̃ːtjɑ̃ː
echantillone	eʃɑ̃ːtjɑ̃ːə
echantillonen	eʃɑ̃ːtjɑ̃ːən
echeance	eʃeɑ̃ːs
echeancë	eʃeɑ̃ːsə
echeancen	eʃeɑ̃ːsən
echec	eʃæk
echecke	eʃækə
echecken	eʃækən
echt	æɕt
eck	æk
eckeg	ækəɕ
ecran	eːkʀɑ̃ː
ecrane	eːkʀɑ̃ːə
ecranen	eːkʀɑ̃ːən
edelstee	eːdəlʃteː
edelsteen	eːdəlʃteːn
educatiounsprojeten	eːdukatsjəʊnspʀoʒeːən
ee	eː
eech	eːɕ
eechel	eːɕəl
eed	eːt
eedem	eːdəm
eeërschuel	eːɐʃuəl
eeërstack	eːɐʃtɑk
eefälleg	eːfæləɕ
eefalt	eːfɑlt
eege	eːʑə
eegen	eːʑən
eegentemer	eːʑəntəmɐ
eegentlech	eːʑəntləɕ
eegentom	eːʑəntom
eegiel	eːgiəl
eekele	eːkələ
eekeleg	eːkələɕ
eekelen	eːkələn
eekle	eːklə
eekleg	eːkləɕ
eeklen	eːklən
eelef	eːləf
eeler	eːlɐ
eelst	eːlst
eelste	eːlstə
eelsten	eːlstən
eelze	eːltsə
eelzen	eːltsən
eemer	eːmɐ
eemol	eːmoːl
een	eːn
eenege	eːnəʑə
eenegen	eːnəʑən
eent	eːnt
eenzeg	eːntsəɕ
eenzege	eːntsəʑə
eenzegen	eːntsəʑən
eenzegt	eːntsəɕt
eenzel	eːntsəl
eenzelheete	eːntsəlheːtə
eenzelheeten	eːntsəlheːtən
eenzock	eːntsok
eescht	eːʃt
eeschtlech	eːʃtləɕ
eess	eːs
eeter	eːtɐ
eewäiss	eːvæːɪs
efeu	eːfoɪ
effete	æfeːə
effeten	æfeːən
efficacen	æfikɑsən
efficacer	æfikɑsɐ
efficacest	æfikɑsəst
efficacet	æfikɑst
effiziente	æfitsjænt
effizienter	æfitsjæntɐ
effort	æfɔːʀ
efforte	æfɔːʀə
efforten	æfɔːʀən
egal	egaːl
égout	eguː
eidechs	ɑɪdæks
eidel	ɑɪdəl
éier	ɜɪɐ
éierbar	ɜɪɐbaːʀ
éierewou	ɜɪəʀəwəʊ
éiergäiz	ɜɪɐgæːɪts
éiergäizeg	ɜɪɐgæːɪtsəɕ
éierlech	ɜɪɐləɕ
eigentlech	ɑɪʑəntləɕ
eil	ɑɪl
éil	ɜɪl
einfach	ɑɪnfɑχ
einsamkeet	ɑɪnzaːmkeːt
eintlech	ɑɪntləɕ
eis	ɑɪs
éischt	ɜɪʃt
éischte	ɜɪʃtə
éischten	ɜɪʃtən
éischter	ɜɪʃtɐ
eise	ɑɪzə
eisebunn	ɑɪzebun
eisebunner	ɑɪzebunɐ
eisekuch	ɑɪzekuχ
eisen	ɑɪzən
eisepäertche	ɑɪzəpɛːɐtɕə
eisepäertchen	ɑɪzəpɛːɐtɕən
eiser	ɑɪzɐ
éislek	ɜɪslek
eist	ɑɪst
éisträich	ɜɪstʀæːɪɕ
éiweg	ɜɪvəɕ
éiwegkeet	ɜɪvəɕkeːt
ekel	eːkəl
ekologistinne	eːkoːlogistinə
ekonomistinne	eːkoːnoːmistinə
elaboréieren	elɑboːʀɜɪəʀən
elauter	əlæːʊtɐ
elch	ælɕ
elefeant	ələfɑnt
elei	əlɑɪ
elektriker	elæktʀikɐ
elementar	ələmæntaːʀ
elementarem	ələmæntaːʀəm
elementer	ələmæntɐ
eleng	əlæŋ
elitär	elitɛːʀ
elitären	elitɛːʀən
elle	ælə
ellen	ælən
elo	əloː
eltere	æltəʀə
elteren	æltəʀən
ëm	əm
emäermele	əmɛːɐmələ
emäermelen	əmɛːɐmələn
email	emɑj
émail	emɑj
emailléier	emɑjɜɪɐ
ëmännere	əmænəʀə
ëmänneren	əmænəʀən
emballage	ɑ̃ːmbɑlaːʃ
emballagë	ɑ̃ːmbɑlɑʒə
emballagen	ɑ̃ːmbɑlaːʒən
embargo	æmbɑʀgoː
ëmbloost	əmbloːst
embolie	ɑ̃ːmboliː
ëmbrénge	əmbʀeŋə
ëmbréngen	əmbʀeŋən
embryo	æmbʀioː
embryoe	æmbʀioːə
ëmdréie	əmdʀɜɪə
ëmdréien	əmdʀɜɪən
ëmfang	əmfɑŋ
emfank	əmfɑŋk
emfänke	əmfæŋkə
emfänken	əmfæŋkən
emfindlech	əmfindləɕ
ëmfro	əmfʀoː
emgéigend	əmgɜɪʑənt
ëmgeréits	əmgəʀɜɪts
ëmkomme	əmkomə
ëmkommen	əmkomən
ëmleede	əmleːdə
ëmleeden	əmleːdən
ëmmer	əmɐ
emol	əmoːl
emotionaler	emotsjoːnaːlɐ
emotioun	emotjəʊn
ëmpeg	əmpəɕ
empfaangen	æmpfaːŋən
empfang	æmpfɑŋ
empfindlech	æmpfindləɕ
employé	ɑ̃ːplwɑjeː
emsoss	əmzos
ëmstand	əmʃtɑnt
ëmstousse	əmʃtəʊsə
ëmstoussen	əmʃtəʊsən
ëmwee	əmweː
en	ən
enceinte	ɑ̃ːsɛ̃ːt
endege	ændəʑə
endegen	ændəʑən
endlech	ændləɕ
energie	enɛʀʒiː
eng	æŋ
engagéiere	ɑ̃ːgaːʒɜɪəʀə
engagéieren	ɑ̃ːgaːʒɜɪəʀən
engel	æŋəl
engem	æŋəm
england	æŋlɑnt
englänner	æŋlænɐ
englännerin	æŋlænəʀin
englesch	æŋləʃ
enk	æŋk
enkel	æŋkəl
enkelkand	æŋkəlkɑnt
enn	æn
ënn	ən
ënne	ənə
ënnen	ənən
ënnenan	ənənɑn
ënner	ənɐ
ënnerbrieche	ənɐbʀiəɕə
ënnerbriechen	ənɐbʀiəɕən
ënnerdaach	ənɐdaːχ
ënnergehëlz	ənɐgəhəlts
ënnergoe	ənɐgoːə
ënnergoen	ənɐgoːən
ënnerhale	ənɐhaːlə
ënnerhalen	ənɐhaːlən
ënnerhuele	ənɐhuələ
ënnerhuelen	ənɐhuələn
ënnerläif	ənɐlæːɪf
ënnerriichte	ənɐʀiːɕtə
ënnerriichten	ənɐʀiːɕtən
ënnerscheed	ənɐʃeːt
ënnerscheede	ənɐʃeːdə
ënnerscheeden	ənɐʃeːdən
ënnerschrëft	ənɐʃʀəft
ënnerschreiwe	ənɐʃʀɑɪvə
ënnerschreiwen	ənɐʃʀɑɪvən
ënnersiche	ənɐziɕə
ënnersichen	ənɐziɕən
ënnerstëtzung	ənɐʃtətsuŋ
ënnersträiche	ənɐʃtʀæːɪɕə
ënnersträichen	ənɐʃtʀæːɪɕən
ënnert	ənɐt
ënnertenaner	ənɐtənaːnɐ
ënnerwäsch	ənɐvæʃ
ënnerwee	ənɐveː
ënnerwierfeg	ənɐviəfəɕ
enniichter	əniːɕtɐ
enorm	enɔʀm
entdecke	əntdækə
entdecken	əntdækən
entdeeën	əntdeːən
entfale	əntfaːlə
entfalen	əntfaːlən
enthale	ənthaːlə
enthalen	ənthaːlən
entnäipe	əntnæːɪpə
entnäipen	əntnæːɪpən
entpuppe	əntpupə
entpuppen	əntpupən
entrée	ɑ̃ːtʀeː
entrepreneur	ɑ̃ːtʀəpʀənɐ
entrevue	ɑ̃ːtʀəvyː
entscheede	əntʃeːdə
entscheeden	əntʃeːdən
entschëllege	əntʃələʑə
entschëllegen	əntʃələʑən
entschiedege	əntʃiədəʑə
entschiedegen	əntʃiədəʑən
entschlofe	əntʃloːfə
entschlofen	əntʃloːfən
entwéckele	əntvekələ
entwéckelen	əntvekələn
entwerfe	əntvɛʀfə
entwerfen	əntvɛʀfən
entworf	əntvɔʀf
entwutsche	əntvutʃə
entwutschen	əntvutʃən
entziffere	ənttsifəʀə
entzifferen	ənttsifəʀən
enveloppe	ɑ̃ːvəlop
épicerie	episəʀiː
épicier	episjeː
epidemien	epidemiːən
epilatioun	epilatsjəʊn
epilatioune	epilatsjəʊnə
epilatiounen	epilatsjəʊnən
epiléier	epilɜɪɐ
epilepsie	epileːpsiː
epileptesch	epilæptəʃ
eponge	epɑ̃ːʃ
epongen	epɑ̃ːʒən
eppes	æpəs
epreuve	eːpʀœːf
epreuven	eːpʀœːvən
équipe	ekip
equivalenz	eːkiːvaːlænts
eragoe	əʀɑgoːə
eragoen	əʀɑgoːən
eraklappbar	əʀɑklɑpbaːʀ
erakomme	əʀɑkomə
erakommen	əʀɑkomən
eran	əʀɑn
eraus	əʀæːʊs
erausfanne	əʀæːʊsfɑnə
erausfannen	əʀæːʊsfɑnən
erausgoe	əʀæːʊsgoːə
erausgoen	əʀæːʊsgoːən
eraushuele	əʀæːʊshuələ
eraushuelen	əʀæːʊshuələn
erausklamme	əʀæːʊsklɑmə
erausklammen	əʀæːʊsklɑmən
erauskomme	əʀæːʊskomə
erauskommen	əʀæːʊskomən
erausrappe	əʀæːʊsʀɑpə
erausrappen	əʀæːʊsʀɑpən
erausschëdde	əʀæːʊsʃədə
erausschëdden	əʀæːʊsʃədən
eraussiche	əʀæːʊsziɕə
eraussichen	əʀæːʊsziɕən
erbäilafe	ɐbæːɪlaːfə
erbäilafen	ɐbæːɪlaːfən
erbléckse	ɐbleksə
erblécksen	ɐbleksən
erblose	ɐbloːzə
erblosen	ɐbloːzən
erbrieche	ɐbʀiəɕə
erbriechen	ɐbʀiəɕən
erdiischtere	ɐdiːʃtəʀə
erdiischteren	ɐdiːʃtəʀən
erdrag	ɐdʀaːχ
erdrénke	ɐdʀeŋkə
erdrénken	ɐdʀeŋkən
erdroe	ɐdʀoːə
erdroen	ɐdʀoːən
eréischt	əʀɜɪʃt
erëm	əʀəm
erëmbrénge	əʀəmbʀeŋə
erëmbréngen	əʀəmbʀeŋən
erëmfanne	əʀəmfɑnə
erëmfannen	əʀəmfɑnən
erëmgesi	əʀəmgəzi
erëmgesinn	əʀəmgəzin
erëmgi	əʀəmgi
erëmginn	əʀəmgin
erëmkenne	əʀəmkænə
erëmkennen	əʀəmkænən
erëmkomme	əʀəmkomə
erëmkommen	əʀəmkomən
erëmkréie	əʀəmkʀɜɪə
erëmkréien	əʀəmkʀɜɪən
erënnere	ɐənəʀə
erënneren	ɐənəʀən
erënnerung	ɐənəʀuŋ
erfanne	ɐfɑnə
erfannen	ɐfɑnən
erféiere	ɐfɜɪəʀə
erféieren	ɐfɜɪəʀən
erfolleg	ɐfoləɕ
erfréiere	ɐfʀɜɪəʀə
erfréieren	ɐfʀɜɪəʀən
erhéiung	ɐhɜɪuŋ
erhéngere	ɐheŋəʀə
erhéngeren	ɐheŋəʀən
erhuelung	ɐhuəluŋ
eriwwer	əʀivɐ
eriwwergoe	əʀivɐgoːə
eriwwergoen	əʀivɐgoːən
erkale	ɐkaːlə
erkalen	ɐkaːlən
erkältung	ɐkæltuŋ
erkenne	ɐkænə
erkennen	ɐkænən
erkläre	ɐklɛːʀə
erklären	ɐklɛːʀən
erlaabnes	ɐlaːbnəs
erlaabs	ɐlaːps
erlabe	ɐlaːbə
erlaben	ɐlaːbən
erleedege	ɐleːdəʑə
erleedegen	ɐleːdəʑən
erléise	ɐlɜɪzə
erléisen	ɐlɜɪzən
erliewe	ɐliəvə
erliewen	ɐliəvən
erliichtere	ɐliːɕtəʀə
erliichteren	ɐliːɕtəʀən
ermiddend	ɐmidənt
erneiere	ɐnɑɪəʀə
erneieren	ɐnɑɪəʀən
erniere	ɐniːɐʀə
ernieren	ɐniːɐʀən
ernimme	ɐnimə
ernimmen	ɐnimən
erof	əʀoːf
erofdroe	əʀoːfdʀoːə
erofdroen	əʀoːfdʀoːən
eroffale	əʀoːffaːlə
eroffalen	əʀoːffaːlən
erofgoe	əʀoːfgoːə
erofgoen	əʀoːfgoːən
erofloosse	əʀoːfloːsə
erofloossen	əʀoːfloːsən
erofmaache	əʀoːfmaːχə
erofmaachen	əʀoːfmaːχən
erofrappe	əʀoːfʀɑpə
erofrappen	əʀoːfʀɑpən
erop	əʀop
eropdroe	əʀopdʀoːə
eropdroen	əʀopdʀoːən
eropgoe	əʀopgoːə
eropgoen	əʀopgoːən
eropklamme	əʀopklɑmə
eropklammen	əʀopklɑmən
eropkomme	əʀopkomə
eropkommen	əʀopkomən
erreeche	ɐʀeːɕə
erreechen	ɐʀeːɕən
erreger	ɐʀeːʑɐ
ersatzstéck	ɐzɑtsʃtek
ersaufe	ɐzæːʊfə
ersaufen	ɐzæːʊfən
erschénge	ɐʃeŋə
erschéngen	ɐʃeŋən
ersetze	ɐzætsə
ersetzen	ɐzætsən
erstécke	ɐʃtekə
erstécken	ɐʃtekən
eruewere	ɐuəveʀə
erueweren	ɐuəveʀən
eruewerung	ɐuəvəʀuŋ
ervirdoe	ɐfiːɐdoːə
ervirdoen	ɐfiːɐdoːən
ervirhiewe	ɐfiːɐhiəvə
ervirhiewen	ɐfiːɐhiəvən
erwaarde	ɐvaːʀdə
erwaarden	ɐvaːʀdən
erwaardung	ɐvaːʀduŋ
erwäche	ɐvæɕə
erwächen	ɐvæɕən
erwësche	ɐvəʃə
erwëschen	ɐvəʃən
erwierge	ɐviəʑə
erwiergen	ɐviəʑən
erwuess	ɐvuəs
erwuessene	ɐvuəsənə
erwuessenen	ɐvuəsənən
erzéie	ɐtsɜɪə
erzéien	ɐtsɜɪən
erzéiung	ɐtsɜɪuŋ
erziele	ɐtsiələ
erzielen	ɐtsiələn
erzielung	ɐtsiəluŋ
esch	æʃ
esou	əzəʊ
esoubal	əzəʊbaːl
esouguer	əzəʊguːɐ
esseg	æsəɕ
et	ət
etgen	ətʑən
etikett	etikæt
etlech	ætləɕ
etlechmol	ætləɕmoːl
etüd	eːtyːt
europa	oɪʀoːpaː
europäesch	oɪʀoːpɛːəʃ
ewechbrénge	əvəɕbʀeŋə
ewechbréngen	əvəɕbʀeŋən
ewechgi	əvəɕgi
ewechginn	əvəɕgin
ewechhuele	əvəɕhuələ
ewechhuelen	əvəɕhuələn
ewell	əvæl
exame	ægzaːmə
examen	ægzaːmən
exercice	ægzɐsis
experienz	ækspeʀjænts
expertise	ækspeʀtiːs
export	ækspɔʀt
expositioun	ækspozitsjəʊn
express	ækspʀæs
extere	ækstæʀə
exteren	ækstæʀən
exzellent	æksælænt
faarf	faːɐf
faarfdëppe	faːɐfdəpə
faarfdëppen	faːɐfdəpən
faarweg	faːɐvəɕ
faaschte	faːʃtə
faaschten	faːʃtən
faass	faːs
fabréck	fɑbʀek
fabrizéiere	fɑbʀitsɜɪəʀə
fabrizéieren	fɑbʀitsɜɪəʀən
facteur	fɑktœːʀ
fad	faːt
fäeg	fɛːəɕ
fäert	fɛːɐt
fäerte	fɛːɐtə
fäerten	fɛːɐtən
fal	faːl
fale	faːlə
falen	faːlən
fall	fɑl
fallschierm	fɑlʃiːɐm
falsch	fɑlʃ
fälsche	fælʃə
fälschen	fælʃən
faméis	fɑmɜɪs
familiär	fɑmiljɛːɐ
famill	fɑmil
familljennumm	fɑmiljənnum
fändel	fændəl
fanger	fɑŋɐ
fänke	fæŋkə
fänken	fæŋkən
fanne	fɑnə
fannen	fɑnən
fantastesch	fɑntɑstəʃ
far	faːʀ
fasan	fɑzaːn
fassad	fɑsaːt
fatz	fɑts
fatzeg	fɑtsəɕ
faubourg	foːbuːɐ
faul	fɑʊl
faule	fɑʊlə
faulen	fɑʊlən
faulenze	fæːʊlæntsə
faulenzen	fæːʊlæntsən
fauscht	fæːʊʃt
favoriséiere	fɑvoːʀisɜɪəʀə
favoriséieren	fɑvoːʀisɜɪəʀən
fax	fɑks
februar	feːbʀuaːʀ
fechte	fæɕtə
fechten	fæɕtən
feele	feːlə
feelen	feːlən
feeler	feːlɐ
feescht	feːʃt
feier	fɑɪɐ
feierblumm	fɑɪɐblum
feiere	fɑɪəʀə
féiere	fɜɪəʀə
feieren	fɑɪəʀən
féieren	fɜɪəʀən
feierkuerf	fɑɪɐkuːɐf
feierlech	fɑɪɐləɕ
feierrout	fɑɪɐʀəʊt
feig	fɑɪɕ
feigheet	fɑɪɕheːt
feigling	fɑɪɕliŋ
feil	fɑɪl
feile	fɑɪlə
feilen	fɑɪlən
feind	fɑɪnt
féiwer	fɜɪvɐ
féiwereg	fɜɪvəʀəɕ
feld	fælt
feldhong	fælthoŋ
feldwee	fæltweː
felg	fælɕ
félicitatioun	felisitatsjəʊn
félicitéiere	felisitɜɪəʀə
félicitéieren	felisitɜɪəʀən
fëlle	fələ
fëllen	fələn
fëmme	fəmə
fëmmen	fəmən
fëmmert	fəmɐt
fénkele	feŋkələ
fénkelen	feŋkələn
fënnef	fənəf
fënnefafofzeg	fənəvɑfoftsəɕ
fënnefte	fənəftə
fënneften	fənəftən
fënster	fənstɐ
fernand	fɛʀnɑ̃ː
fernseh	fɛʀnzeː
fësch	fəʃ
fësche	fəʃə
fëschen	fəʃən
fëscher	fəʃɐ
fëscherboot	fəʃɐboːt
fëschfänke	fəʃfæŋkə
fëschfänken	fəʃfæŋkən
fëschmaart	fəʃmaːʀt
fëschrutt	fəʃʀut
fest	fæst
festmaache	fæstmaːχə
festmaachen	fæstmaːχən
feststelle	fæstʃtælə
feststellen	fæstʃtælən
festung	fæstuŋ
fett	fæt
fetteg	fætəɕ
ficelle	fisæl
fiddere	fidəʀə
fidderen	fidəʀən
fieder	fiədɐ
fiederball	fiədɐbɑl
fiels	fiəls
fierchterlech	fiəɕtɐləɕ
fierkel	fiːɐkəl
fierschter	fiəʃtɐ
fierwe	fiːɐvə
fierwen	fiːɐvən
fiffeg	fifəɕ
fiffi	fifiː
fig	fiːk
figur	figuːʀ
fiicht	fiːɕt
fiissche	fiːsjə
fiisschen	fiːsjən
filet	fileː
filial	filjaːl
fille	filə
fillen	filən
film	film
fils	fis
filter	filtɐ
filtere	filtəʀə
filteren	filtəʀən
filz	filts
finale	finɑl
finall	finɑl
firma	fiʀmaː
firmung	fiʀmuŋ
firwat	fiːɐvaːt
fischi	fiʃiː
fisele	fizələ
fiselen	fizələn
fiselree	fizəlʀeː
fiselreen	fizəlʀeːn
fixfeier	fiksfɑɪɐ
fixspoun	fiksʃpəʊn
fize	fiːtsə
fizen	fiːtsən
flaach	flaːχ
flackere	flɑkəʀə
flackeren	flɑkəʀən
fläiss	flæːɪs
fläisse	flæːɪsə
fläisseg	flæːɪsəɕ
fläissen	flæːɪsən
flam	flaːm
flame	flaːmə
flamen	flaːmən
flämesch	flɛːməʃ
flantermaus	flɑntɐmaːus
flantesseg	flɑntəsəɕ
fläsch	flæʃ
fläschelche	flæʃəlɕə
fläschelchen	flæʃəlɕən
flätsch	flætʃ
flauscheg	flæːʊʃəɕ
fleck	flæk
flécke	flekə
flécken	flekən
fleege	fleːʑə
fleegen	fleːʑən
fleesch	fleːʃ
fleeschwollef	fleːʃwoləf
fleete	fleːtə
fleeten	fleːtən
fléie	flɜɪə
fléien	flɜɪən
flemm	flæm
flemmseg	flæmsəɕ
flénk	fleŋk
flënt	flənt
flësseg	fləsəɕ
flicht	fliɕt
fliger	fliːʑɐ
flillek	flilek
flom	floːm
floss	flos
flott	flot
flou	fləʊ
floumaart	fləʊmaːʀt
flu	fluː
fluch	fluχ
fluche	fluχə
fluchen	fluχən
fluchhafen	fluːχhaːfən
flughafe	fluːχhaːfə
flughafen	fluːχhaːfən
flüstere	flystəʀə
flüsteren	flystəʀən
flütt	flyt
fochs	foks
focke	fokə
focken	fokən
fofzeg	foftsəɕ
fofzéng	foftseŋ
föhn	føːn
foire	fwaːʀ
folleche	foləɕə
follechen	foləɕən
folter	foltɐ
fonctionnéiere	foŋksjoːnɜɪəʀə
fonctionnéieren	foŋksjoːnɜɪəʀən
fonke	foŋkə
fonkelnei	foŋkəlnɑɪ
fonken	foŋkən
foosche	foːʃə
fooschen	foːʃən
football	futbɑl
footing	fuːtiŋ
forell	fɔʀæl
form	fɔʀm
forme	fɔʀmə
formen	fɔʀmən
forschette	fɔʀʃæt
fort	fɔʀt
fortfléie	fɔʀtflɜɪə
fortfléien	fɔʀtflɜɪən
fortgoe	fɔʀtgoːə
fortgoen	fɔʀtgoːən
fortlafe	fɔʀtlaːfə
fortlafen	fɔʀtlaːfən
fortschécke	fɔʀtʃekə
fortschécken	fɔʀtʃekən
fotell	foːtæl
foto	fotoː
fotoapparat	fotoːɑpɑʀaːt
fotograf	fotoːgʀaːf
fotografie	fotoːgʀafiː
fouer	fəʊɐ
foulard	fulaːʀ
fouss	fəʊs
foussball	fəʊsbɑl
foussgänger	fəʊsgæŋɐ
foussgängerzon	fəʊsgæŋɐtsoːn
foussteppech	fəʊstæpəɕ
fra	fʀaː
fracht	fʀɑχt
frachtschëff	fʀɑχtʃəf
fräi	fʀæːɪ
fräie	fʀæːɪə
fräien	fʀæːɪən
fräiheet	fʀæːɪheːt
fräiwëlleg	fʀæːɪvələɕ
fräizäit	fʀæːɪtsæːɪt
françois	fʀɑ̃ːswɑ
françoise	fʀɑ̃ːswɑs
frang	fʀɑŋ
frankräich	fʀɑŋkʀæːɪɕ
franséisch	fʀɑnzɜɪʃ
fransous	fʀɑnzəʊs
fräsch	fʀæʃ
fräschmann	fʀæʃmɑn
frascht	fʀɑʃt
fraschtknupp	fʀɑʃtknup
frech	fʀæɕ
freed	fʀeːt
